t,y0,y1
0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
5.0000000000000003e-02,0.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000001e-01,0.0000000000000000e+00,1.0000000000000000e+00
1.5000000000000002e-01,0.0000000000000000e+00,1.0000000000000000e+00
2.0000000000000001e-01,0.0000000000000000e+00,1.0000000000000000e+00
2.5000000000000000e-01,0.0000000000000000e+00,1.0000000000000000e+00
3.0000000000000004e-01,0.0000000000000000e+00,1.0000000000000000e+00
3.5000000000000003e-01,0.0000000000000000e+00,1.0000000000000000e+00
4.0000000000000002e-01,0.0000000000000000e+00,1.0000000000000000e+00
4.5000000000000001e-01,0.0000000000000000e+00,1.0000000000000000e+00
5.0000000000000000e-01,0.0000000000000000e+00,1.0000000000000000e+00
